age,education,marital_status,occupation,race,sex,native_country
27,1st-4th,Never-married,Craft-repair,White,Male,Mexico
25,5th-6th,Never-married,Craft-repair,White,Male,Mexico
28,5th-6th,Never-married,Craft-repair,White,Male,Mexico
35,5th-6th,Never-married,Craft-repair,White,Male,Mexico
23,5th-6th,Never-married,Craft-repair,White,Male,Mexico
23,7th-8th,Never-married,Craft-repair,White,Male,Mexico
26,7th-8th,Never-married,Craft-repair,White,Male,Mexico
27,9th,Never-married,Craft-repair,White,Male,Mexico
25,9th,Never-married,Craft-repair,White,Male,Mexico
25,Bachelors,Never-married,Craft-repair,White,Male,Mexico
25,Bachelors,Never-married,Craft-repair,White,Male,Mexico
26,Bachelors,Never-married,Craft-repair,White,Male,Mexico
28,HS-grad,Never-married,Craft-repair,White,Male,Mexico
21,HS-grad,Never-married,Craft-repair,White,Male,Mexico
27,HS-grad,Never-married,Craft-repair,White,Male,Mexico
23,HS-grad,Never-married,Craft-repair,White,Male,Mexico
21,HS-grad,Never-married,Craft-repair,White,Male,Mexico
19,HS-grad,Never-married,Craft-repair,White,Male,Mexico
30,Some-college,Never-married,Craft-repair,White,Male,Mexico
28,Some-college,Never-married,Craft-repair,White,Male,Mexico
23,Some-college,Never-married,Craft-repair,White,Male,Mexico
32,Some-college,Never-married,Craft-repair,White,Male,Mexico
19,Some-college,Never-married,Craft-repair,White,Male,Mexico
31,Some-college,Never-married,Craft-repair,White,Male,Mexico
39,9th,Separated,Craft-repair,White,Male,Mexico
25,HS-grad,Separated,Craft-repair,White,Male,Mexico
58,HS-grad,Widowed,Craft-repair,White,Male,Mexico
35,Some-college,Divorced,Exec-managerial,White,Male,Mexico
39,9th,Married-civ-spouse,Exec-managerial,White,Male,Mexico
43,9th,Married-civ-spouse,Exec-managerial,White,Male,Mexico
65,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Mexico
48,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Mexico
44,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Mexico
41,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Mexico
48,Masters,Married-civ-spouse,Exec-managerial,White,Male,Mexico
29,Some-college,Married-civ-spouse,Exec-managerial,White,Male,Mexico
31,10th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
37,10th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
31,11th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
30,11th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
20,11th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
37,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
41,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
52,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
25,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
31,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
48,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
37,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
62,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
26,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
44,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
41,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
57,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
41,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
29,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
27,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
34,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
33,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
30,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
36,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
28,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
33,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
51,9th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
38,9th,Married-civ-spouse,Farming-fishing,White,Male,Mexico
43,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,Mexico
33,Preschool,Married-civ-spouse,Farming-fishing,White,Male,Mexico
27,Preschool,Married-civ-spouse,Farming-fishing,White,Male,Mexico
34,Some-college,Married-civ-spouse,Farming-fishing,White,Male,Mexico
50,Some-college,Married-civ-spouse,Farming-fishing,White,Male,Mexico
35,Some-college,Married-civ-spouse,Farming-fishing,White,Male,Mexico
41,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
47,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
37,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
20,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
43,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
41,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
42,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
24,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,Mexico
52,HS-grad,Married-spouse-absent,Farming-fishing,White,Male,Mexico
28,10th,Never-married,Farming-fishing,White,Male,Mexico
28,1st-4th,Never-married,Farming-fishing,White,Male,Mexico
36,1st-4th,Never-married,Farming-fishing,White,Male,Mexico
23,1st-4th,Never-married,Farming-fishing,White,Male,Mexico
27,5th-6th,Never-married,Farming-fishing,White,Male,Mexico
19,5th-6th,Never-married,Farming-fishing,White,Male,Mexico
22,5th-6th,Never-married,Farming-fishing,White,Male,Mexico
31,5th-6th,Never-married,Farming-fishing,White,Male,Mexico
33,7th-8th,Never-married,Farming-fishing,White,Male,Mexico
25,9th,Never-married,Farming-fishing,White,Male,Mexico
19,9th,Never-married,Farming-fishing,White,Male,Mexico
36,Bachelors,Never-married,Farming-fishing,White,Male,Mexico
23,HS-grad,Never-married,Farming-fishing,White,Male,Mexico
27,HS-grad,Never-married,Farming-fishing,White,Male,Mexico
30,Preschool,Never-married,Farming-fishing,White,Male,Mexico
21,Preschool,Never-married,Farming-fishing,White,Male,Mexico
21,Preschool,Never-married,Farming-fishing,White,Male,Mexico
24,Preschool,Never-married,Farming-fishing,White,Male,Mexico
25,Preschool,Never-married,Farming-fishing,White,Male,Mexico
32,5th-6th,Separated,Farming-fishing,White,Male,Mexico
30,7th-8th,Separated,Farming-fishing,White,Male,Mexico
33,5th-6th,Divorced,Handlers-cleaners,White,Male,Mexico
28,10th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
34,11th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
23,11th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
38,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
31,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
46,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
33,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
24,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
35,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
39,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
31,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
23,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
38,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
44,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
21,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
50,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
47,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
28,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
27,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
25,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
35,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
28,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
25,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
33,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
19,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
42,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
30,9th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
37,9th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
39,9th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
30,Assoc-voc,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
38,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
27,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
35,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
40,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
32,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
28,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico
25,11th,Married-spouse-absent,Handlers-cleaners,White,Male,Mexico
34,12th,Married-spouse-absent,Handlers-cleaners,White,Male,Mexico
38,9th,Married-spouse-absent,Handlers-cleaners,White,Male,Mexico
28,10th,Never-married,Handlers-cleaners,White,Male,Mexico
28,10th,Never-married,Handlers-cleaners,White,Male,Mexico
19,11th,Never-married,Handlers-cleaners,White,Male,Mexico
20,11th,Never-married,Handlers-cleaners,White,Male,Mexico
31,1st-4th,Never-married,Handlers-cleaners,White,Male,Mexico
24,1st-4th,Never-married,Handlers-cleaners,White,Male,Mexico
19,1st-4th,Never-married,Handlers-cleaners,White,Male,Mexico
19,1st-4th,Never-married,Handlers-cleaners,White,Male,Mexico
22,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
48,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
20,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
23,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
21,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
23,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
18,5th-6th,Never-married,Handlers-cleaners,White,Male,Mexico
24,7th-8th,Never-married,Handlers-cleaners,White,Male,Mexico
29,7th-8th,Never-married,Handlers-cleaners,White,Male,Mexico
23,9th,Never-married,Handlers-cleaners,White,Male,Mexico
21,9th,Never-married,Handlers-cleaners,White,Male,Mexico
25,HS-grad,Never-married,Handlers-cleaners,White,Male,Mexico
26,HS-grad,Never-married,Handlers-cleaners,White,Male,Mexico
21,HS-grad,Never-married,Handlers-cleaners,White,Male,Mexico
22,Some-college,Never-married,Handlers-cleaners,White,Male,Mexico
46,5th-6th,Separated,Handlers-cleaners,White,Male,Mexico
28,7th-8th,Separated,Handlers-cleaners,White,Male,Mexico
37,10th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
32,12th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
52,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
37,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
41,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
28,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
59,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
41,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
31,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
45,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
46,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
36,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
45,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
28,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
55,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
46,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
55,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
30,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
38,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
37,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
44,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
40,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
35,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
33,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
22,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
58,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
31,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
25,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
25,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
40,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
29,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
43,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
27,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
41,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
38,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
42,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
43,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
25,Masters,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
32,Preschool,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
43,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
22,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
31,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico
54,5th-6th,Married-spouse-absent,Machine-op-inspct,White,Male,Mexico
47,5th-6th,Married-spouse-absent,Machine-op-inspct,White,Male,Mexico
26,Preschool,Married-spouse-absent,Machine-op-inspct,White,Male,Mexico
32,10th,Never-married,Machine-op-inspct,White,Male,Mexico
23,12th,Never-married,Machine-op-inspct,White,Male,Mexico
24,12th,Never-married,Machine-op-inspct,White,Male,Mexico
23,12th,Never-married,Machine-op-inspct,White,Male,Mexico
22,1st-4th,Never-married,Machine-op-inspct,White,Male,Mexico
25,1st-4th,Never-married,Machine-op-inspct,White,Male,Mexico
19,1st-4th,Never-married,Machine-op-inspct,White,Male,Mexico
22,5th-6th,Never-married,Machine-op-inspct,White,Male,Mexico
31,5th-6th,Never-married,Machine-op-inspct,White,Male,Mexico
25,5th-6th,Never-married,Machine-op-inspct,White,Male,Mexico
24,5th-6th,Never-married,Machine-op-inspct,White,Male,Mexico
25,5th-6th,Never-married,Machine-op-inspct,White,Male,Mexico
25,9th,Never-married,Machine-op-inspct,White,Male,Mexico
18,9th,Never-married,Machine-op-inspct,White,Male,Mexico
23,9th,Never-married,Machine-op-inspct,White,Male,Mexico
21,9th,Never-married,Machine-op-inspct,White,Male,Mexico
21,HS-grad,Never-married,Machine-op-inspct,White,Male,Mexico
19,HS-grad,Never-married,Machine-op-inspct,White,Male,Mexico
35,HS-grad,Never-married,Machine-op-inspct,White,Male,Mexico
22,HS-grad,Never-married,Machine-op-inspct,White,Male,Mexico
27,10th,Separated,Machine-op-inspct,White,Male,Mexico
25,HS-grad,Divorced,Other-service,White,Male,Mexico
51,10th,Married-civ-spouse,Other-service,White,Male,Mexico
24,10th,Married-civ-spouse,Other-service,White,Male,Mexico
30,11th,Married-civ-spouse,Other-service,White,Male,Mexico
39,11th,Married-civ-spouse,Other-service,White,Male,Mexico
37,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
51,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
53,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
54,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
54,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
61,1st-4th,Married-civ-spouse,Other-service,White,Male,Mexico
38,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
32,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
23,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
29,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
53,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
23,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
39,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
42,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
21,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
40,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
33,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
36,5th-6th,Married-civ-spouse,Other-service,White,Male,Mexico
31,7th-8th,Married-civ-spouse,Other-service,White,Male,Mexico
35,9th,Married-civ-spouse,Other-service,White,Male,Mexico
30,9th,Married-civ-spouse,Other-service,White,Male,Mexico
38,Bachelors,Married-civ-spouse,Other-service,White,Male,Mexico
31,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
54,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
31,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
48,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
47,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
25,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
57,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
25,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
31,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
37,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
44,HS-grad,Married-civ-spouse,Other-service,White,Male,Mexico
53,Preschool,Married-civ-spouse,Other-service,White,Male,Mexico
40,Preschool,Married-civ-spouse,Other-service,White,Male,Mexico
31,Some-college,Married-civ-spouse,Other-service,White,Male,Mexico
34,Some-college,Married-civ-spouse,Other-service,White,Male,Mexico
22,9th,Married-spouse-absent,Other-service,White,Male,Mexico
46,HS-grad,Married-spouse-absent,Other-service,White,Male,Mexico
27,10th,Never-married,Other-service,White,Male,Mexico
23,10th,Never-married,Other-service,White,Male,Mexico
24,10th,Never-married,Other-service,White,Male,Mexico
17,10th,Never-married,Other-service,White,Male,Mexico
22,10th,Never-married,Other-service,White,Male,Mexico
20,10th,Never-married,Other-service,White,Male,Mexico
26,11th,Never-married,Other-service,White,Male,Mexico
45,12th,Never-married,Other-service,White,Male,Mexico
17,5th-6th,Never-married,Other-service,White,Male,Mexico
29,5th-6th,Never-married,Other-service,White,Male,Mexico
20,5th-6th,Never-married,Other-service,White,Male,Mexico
18,5th-6th,Never-married,Other-service,White,Male,Mexico
27,5th-6th,Never-married,Other-service,White,Male,Mexico
31,5th-6th,Never-married,Other-service,White,Male,Mexico
27,5th-6th,Never-married,Other-service,White,Male,Mexico
23,7th-8th,Never-married,Other-service,White,Male,Mexico
21,7th-8th,Never-married,Other-service,White,Male,Mexico
39,7th-8th,Never-married,Other-service,White,Male,Mexico
21,9th,Never-married,Other-service,White,Male,Mexico
27,9th,Never-married,Other-service,White,Male,Mexico
20,9th,Never-married,Other-service,White,Male,Mexico
28,Bachelors,Never-married,Other-service,White,Male,Mexico
48,Bachelors,Never-married,Other-service,White,Male,Mexico
27,HS-grad,Never-married,Other-service,White,Male,Mexico
17,HS-grad,Never-married,Other-service,White,Male,Mexico
24,HS-grad,Never-married,Other-service,White,Male,Mexico
26,HS-grad,Never-married,Other-service,White,Male,Mexico
28,HS-grad,Never-married,Other-service,White,Male,Mexico
23,HS-grad,Never-married,Other-service,White,Male,Mexico
21,HS-grad,Never-married,Other-service,White,Male,Mexico
19,Some-college,Never-married,Other-service,White,Male,Mexico
23,Some-college,Never-married,Other-service,White,Male,Mexico
28,7th-8th,Separated,Other-service,White,Male,Mexico
20,9th,Never-married,Priv-house-serv,White,Male,Mexico
34,HS-grad,Divorced,Prof-specialty,White,Male,Mexico
49,Masters,Divorced,Prof-specialty,White,Male,Mexico
60,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,Mexico
34,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Mexico
21,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,Mexico
19,9th,Never-married,Prof-specialty,White,Male,Mexico
31,Doctorate,Never-married,Prof-specialty,White,Male,Mexico
30,Some-college,Never-married,Prof-specialty,White,Male,Mexico
32,12th,Divorced,Protective-serv,White,Male,Mexico
39,Bachelors,Divorced,Protective-serv,White,Male,Mexico
44,1st-4th,Married-civ-spouse,Protective-serv,White,Male,Mexico
23,Some-college,Never-married,Protective-serv,White,Male,Mexico
42,11th,Divorced,Sales,White,Male,Mexico
56,7th-8th,Divorced,Sales,White,Male,Mexico
57,1st-4th,Married-civ-spouse,Sales,White,Male,Mexico
41,1st-4th,Married-civ-spouse,Sales,White,Male,Mexico
53,5th-6th,Married-civ-spouse,Sales,White,Male,Mexico
38,5th-6th,Married-civ-spouse,Sales,White,Male,Mexico
47,5th-6th,Married-civ-spouse,Sales,White,Male,Mexico
38,7th-8th,Married-civ-spouse,Sales,White,Male,Mexico
24,9th,Married-civ-spouse,Sales,White,Male,Mexico
33,Assoc-acdm,Married-civ-spouse,Sales,White,Male,Mexico
32,Bachelors,Married-civ-spouse,Sales,White,Male,Mexico
30,Bachelors,Married-civ-spouse,Sales,White,Male,Mexico
49,HS-grad,Married-civ-spouse,Sales,White,Male,Mexico
24,HS-grad,Married-civ-spouse,Sales,White,Male,Mexico
27,HS-grad,Married-civ-spouse,Sales,White,Male,Mexico
35,Masters,Married-civ-spouse,Sales,White,Male,Mexico
43,Some-college,Married-civ-spouse,Sales,White,Male,Mexico
41,Some-college,Married-civ-spouse,Sales,White,Male,Mexico
43,Some-college,Married-spouse-absent,Sales,White,Male,Mexico
18,7th-8th,Never-married,Sales,White,Male,Mexico
33,7th-8th,Never-married,Sales,White,Male,Mexico
29,Assoc-acdm,Never-married,Sales,White,Male,Mexico
24,Some-college,Never-married,Sales,White,Male,Mexico
81,1st-4th,Widowed,Sales,White,Male,Mexico
35,7th-8th,Married-civ-spouse,Tech-support,White,Male,Mexico
25,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,Mexico
25,Some-college,Never-married,Tech-support,White,Male,Mexico
29,12th,Married-civ-spouse,Transport-moving,White,Male,Mexico
23,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico
50,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico
45,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico
27,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico
36,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico
58,7th-8th,Married-civ-spouse,Transport-moving,White,Male,Mexico
29,7th-8th,Married-civ-spouse,Transport-moving,White,Male,Mexico
33,9th,Married-civ-spouse,Transport-moving,White,Male,Mexico
32,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Mexico
34,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Mexico
38,11th,Married-spouse-absent,Transport-moving,White,Male,Mexico
27,5th-6th,Never-married,Transport-moving,White,Male,Mexico
26,5th-6th,Never-married,Transport-moving,White,Male,Mexico
24,HS-grad,Never-married,Transport-moving,White,Male,Mexico
25,HS-grad,Never-married,Transport-moving,White,Male,Mexico
43,HS-grad,Separated,Transport-moving,White,Male,Mexico
36,HS-grad,Separated,Transport-moving,White,Male,Mexico
19,11th,Never-married,Sales,Other,Female,Nicaragua
36,HS-grad,Never-married,Adm-clerical,White,Female,Nicaragua
20,Some-college,Never-married,Adm-clerical,White,Female,Nicaragua
37,HS-grad,Never-married,Handlers-cleaners,White,Female,Nicaragua
32,11th,Separated,Handlers-cleaners,White,Female,Nicaragua
43,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,Nicaragua
28,11th,Never-married,Machine-op-inspct,White,Female,Nicaragua
20,9th,Never-married,Machine-op-inspct,White,Female,Nicaragua
55,HS-grad,Widowed,Other-service,White,Female,Nicaragua
48,5th-6th,Never-married,Priv-house-serv,White,Female,Nicaragua
67,Some-college,Widowed,Sales,White,Female,Nicaragua
29,Assoc-voc,Married-civ-spouse,Tech-support,White,Female,Nicaragua
32,Some-college,Divorced,Handlers-cleaners,Black,Male,Nicaragua
33,Masters,Married-civ-spouse,Transport-moving,Black,Male,Nicaragua
27,HS-grad,Never-married,Craft-repair,Other,Male,Nicaragua
44,7th-8th,Married-civ-spouse,Machine-op-inspct,Other,Male,Nicaragua
41,5th-6th,Married-civ-spouse,Other-service,Other,Male,Nicaragua
56,Some-college,Married-civ-spouse,?,White,Male,Nicaragua
20,HS-grad,Never-married,Adm-clerical,White,Male,Nicaragua
19,Some-college,Never-married,Adm-clerical,White,Male,Nicaragua
20,Some-college,Never-married,Adm-clerical,White,Male,Nicaragua
21,Some-college,Never-married,Adm-clerical,White,Male,Nicaragua
34,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Nicaragua
38,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Nicaragua
42,Preschool,Married-civ-spouse,Craft-repair,White,Male,Nicaragua
28,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,White,Male,Nicaragua
30,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,Nicaragua
32,Some-college,Divorced,Other-service,White,Male,Nicaragua
43,HS-grad,Married-civ-spouse,Other-service,White,Male,Nicaragua
25,10th,Never-married,Other-service,White,Male,Nicaragua
26,Some-college,Never-married,Other-service,White,Male,Nicaragua
29,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Nicaragua
30,Masters,Never-married,Tech-support,White,Male,Nicaragua
39,12th,Married-civ-spouse,Transport-moving,White,Male,Nicaragua
59,Bachelors,Never-married,Exec-managerial,Black,Female,Outlying-US(G
47,Some-college,Never-married,Other-service,Black,Female,Outlying-US(G
59,Some-college,Divorced,Exec-managerial,White,Female,Outlying-US(G
29,HS-grad,Married-civ-spouse,Exec-managerial,White,Female,Outlying-US(G
43,Bachelors,Divorced,Prof-specialty,White,Female,Outlying-US(G
30,Bachelors,Never-married,Prof-specialty,White,Female,Outlying-US(G
47,Some-college,Widowed,Transport-moving,White,Female,Outlying-US(G
63,Bachelors,Divorced,Craft-repair,Black,Male,Outlying-US(G
25,Some-college,Never-married,Handlers-cleaners,Black,Male,Outlying-US(G
21,Some-college,Never-married,Other-service,Black,Male,Outlying-US(G
29,Some-college,Never-married,Sales,Black,Male,Outlying-US(G
23,HS-grad,Never-married,Craft-repair,White,Male,Outlying-US(G
26,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Outlying-US(G
41,9th,Married-civ-spouse,Other-service,White,Male,Outlying-US(G
46,HS-grad,Separated,Handlers-cleaners,White,Female,Peru
49,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Female,Peru
41,HS-grad,Never-married,Machine-op-inspct,White,Female,Peru
21,HS-grad,Never-married,Machine-op-inspct,White,Female,Peru
69,10th,Separated,Machine-op-inspct,White,Female,Peru
37,HS-grad,Divorced,Other-service,White,Female,Peru
20,HS-grad,Married-civ-spouse,Other-service,White,Female,Peru
49,10th,Never-married,Other-service,White,Female,Peru
44,7th-8th,Separated,Other-service,White,Female,Peru
48,Some-college,Separated,Other-service,White,Female,Peru
